A0_EV	A1_EV	A2_EV	DBCO	Stroke	T_EV
Gm38259	0.000152951973080453	0	0.000137061403508772	0.00014367816091954	0.000188123157960745	0.000133797163500134
ENSMUSG00002074990	0	0	0	0	0	0
Gm19965	0	0	0	0	0	0
Gm17777	0	0	0	0	0	0
Gm37005	7.64759865402264e-05	0	0	7.18390804597701e-05	0.000250830877280993	0
Gm24030	0	0	0	0	0	0
Gm15452	0	0	0	0	0	0
ENSMUSG00002076328	0	0	0	0	0	0
Gm36964	0.000229427959620679	1	0	0.00107758620689655	0.000689784912522732	0.000668985817500669
Gm28361	0	0	0	0	0	0
ENSMUSG00002075967	0	0	0	0	0	0
Gm6152	0	0	0	0	0	0
Zfp813-ps	0	0	0	0	0	0
Zfp813-ps.1	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0
Gm28362	0	0	0	7.18390804597701e-05	6.27077193202483e-05	0
Gm7493	0	1	0	0	0	6.68985817500669e-05
Gm37629	0.00107066381156317	7	0.000959429824561403	0.00495689655172414	0.00338621684329341	0.00401391490500401
Gm28363	0	0	0	0	0	0
Gm38008	0	0	0	0.00021551724137931	0.000188123157960745	0.000468290072250468
Gm28359	0	0	0	0	0	0
Gm37143	0	0	0	0.00014367816091954	0.000188123157960745	6.68985817500669e-05
Gm18182	0	0	0	0	0	0
Gm6187	0	0	6.8530701754386e-05	0	0	0.000133797163500134
Gm18299	0	0	0	0	0	0
B020011L13Rik	0	0	0	0	0	0
Gm7512	0	0	0	0	0.000125415438640497	0
Gm28360	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0
Gm28169	0	0	0	0	0	0
Gm18300	7.64759865402264e-05	0	0	0.000359195402298851	0.00150498526368596	0.000668985817500669
Gm7195	0	0	0	0	0	0
Gm28168	0	0	0	0	0	0
Rrs1	0.0455032119914347	473	0.0361842105263158	0.142600574712644	0.145419201103656	0.137075194005887
Gm7145	0	0	0	0	0	0
Gm28358	0	0	0	0	0	0
Gm29489	0	0	0	0	0	0
Gm29490	0	0	0	0	0	0
Gm29104	0	0	0	0	0	0
Gm29106	0	0	0	0	0	0
Gm7200	0	0	0	0	0	0
Tsn	0.610584276537167	9342	0.566954495614035	0.795905172413793	0.727848498150122	0.847872625100348
Nifk	0.0789232181095136	1148	0.0667489035087719	0.139152298850575	0.126669593026902	0.134198554990634
Gm28867	0	0	0	0	0	6.68985817500669e-05
Adhfe1	0.00588865096359743	57	0.00397478070175439	0.0745689655172414	0.0968834263497837	0.0561279100883061
2610203C22Rik	0.0409146527990211	573	0.0253563596491228	0.0889367816091954	0.0893585000313539	0.0721835697083222
Gm6161	0	0	0	0.00021551724137931	0.00037624631592149	6.68985817500669e-05
Vxn	0.0125420617925971	127	0.0135690789473684	0.0198994252873563	0.0245187182542171	0.0177950227455178
Gm29520	0	0	0	0	0	0
Cep170	0.089859284184766	896	0.0716831140350877	0.433261494252874	0.468802909638176	0.402796360717153
3110062G12Rik	0.000382379932701132	4	0.00034265350877193	0.00373563218390805	0.00401329403649589	0.00260904468825261
Gm38104	0.00627103089629856	54	0.00575657894736842	0.0400862068965517	0.0373110929955478	0.0367942199625368
Gm36992	0	0	0	7.18390804597701e-05	0.00037624631592149	0.000133797163500134
Mir350	0	0	0	0.00014367816091954	0.000125415438640497	0
7SK.1	0	0	0	0	0	0
Gm19503	7.64759865402264e-05	0	0	0.00014367816091954	6.27077193202483e-05	0
Gm28181	0	0	0	0	0	0
Mybl1	0.00390027531355154	35	0.00397478070175439	0.0157327586206897	0.0129177901799712	0.0129114262777629
Vcpip1	0.052691954726216	556	0.0455729166666667	0.291522988505747	0.268263623252022	0.254013914905004
Tpp2	0.133603548485775	1663	0.115679824561404	0.446192528735632	0.388411613469618	0.443671394166444
1700034P13Rik	0.000535331905781585	10	0.000616776315789474	0.00100574712643678	0.00144227754436571	0.000802782981000803
Sdccag8	0.0468797797491588	665	0.041186951754386	0.123706896551724	0.116009280742459	0.131522611720632
Gm38158	0.000305903946160905	8	0.000137061403508772	0.000862068965517241	0.00137956982504546	0.000535188654000535
