GeneSym	17-002	17-006	17-019	17-023	17-026	17-027	17-030	17-034	17-040	17-041	17-042	17-043	17-045	17-047	17-054	17-055	17-057	17-058	17-060	17-061
ABCC5	35.26096371	45.88656794	45.56960626	29.04061297	30.2738447	37.27147477	46.52712055	47.17661495	31.34144952	31.77895985	35.01739844	42.22425314	36.25228433	26.35491255	37.01402188	38.8542363	36.25228433	29.65081798	29.24260641	34.53530357
ABCC6	24.5900029	24.7610399	30.48441594	29.85705573	19.69831061	21.40684088	24.42014734	22.47111801	25.45716748	21.85664411	23.10286713	24.5900029	22.00866909	21.40684088	32.89964245	25.63423608	22.16175149	20.39297004	27.09585	20.96629446
ABCC6P1	24.08394796	21.55573723	21.85664411	33.12847756	22.47111801	23.91758798	22.94328397	26.72281342	22.16175149	26.53822547	20.2521055	23.26356028	19.42711815	21.85664411	23.58830748	22.00866909	24.5900029	25.45716748	22.94328397	31.55944654
ABCC6P2	21.85664411	32.89964245	26.35491255	22.78480313	25.8125363	26.90868529	21.25897303	25.8125363	29.44600482	25.45716748	23.10286713	25.45716748	29.04061297	24.08394796	27.28431654	25.8125363	25.99207668	30.2738447	29.04061297	26.17286587
ABCC8	19.97328878	18.25221945	19.15965927	18.89588258	19.02731384	19.02731384	19.42711815	18.89588258	20.82146969	19.69831061	19.29292524	23.26356028	20.2521055	19.15965927	19.15965927	19.42711815	19.69831061	19.29292524	20.11221399	20.39297004
ABCC9	22.31589866	21.11212657	27.28431654	29.85705573	24.25146506	32.44670335	28.4429658	20.2521055	28.05138308	24.42014734	23.26356028	27.28431654	24.5900029	34.2967508	24.25146506	21.11212657	27.6651914	21.40684088	23.58830748	24.08394796
ABCD1	22.31589866	21.25897303	23.10286713	21.25897303	19.97328878	22.94328397	21.40684088	24.42014734	26.53822547	21.55573723	23.42537114	21.55573723	19.42711815	20.82146969	21.25897303	23.58830748	20.67764529	19.29292524	21.25897303	21.55573723
ABCD2	22.94328397	21.85664411	24.93326655	22.627417	25.99207668	24.42014734	21.25897303	23.10286713	22.94328397	21.70566924	24.42014734	21.40684088	27.09585	26.35491255	21.11212657	27.09585	20.39297004	22.94328397	20.39297004	20.2521055
ABCD3	23.91758798	36.25228433	27.28431654	35.50622311	24.5900029	30.06472797	27.09585	33.8245773	30.90996253	29.85705573	25.8125363	30.90996253	22.94328397	27.28431654	27.85761803	27.6651914	30.48441594	27.6651914	25.63423608	29.24260641
ABCD4	21.40684088	23.26356028	26.53822547	20.82146969	23.91758798	38.58585049	21.55573723	23.91758798	23.26356028	20.82146969	23.26356028	22.78480313	23.58830748	25.45716748	23.42537114	21.70566924	21.55573723	42.51794605	22.00866909	19.97328878
ABCE1	63.55791971	82.13925744	61.39290364	64	33.8245773	85.62736351	78.24897777	79.3412928	74.54294953	108.3834	39.6706464	88.03467636	99.04415959	88.64700596	88.64700596	74.02804377	97.00586026	104.6914635	127.1158394	72.50456866
ABCF1	294.0667789	321.7954239	192.6715837	224.4110647	232.3249038	173.6453539	173.6453539	233.9408513	337.7940252	317.3651712	280.1391875	342.509454	330.8423246	377.4129196	477.7128917	252.4755724	501.4631924	326.2875206	232.3249038	404.5011517
ABCF2	25.10669113	23.10286713	31.34144952	22.78480313	21.11212657	30.2738447	25.28132198	23.42537114	22.16175149	21.11212657	23.75237713	28.24649588	22.00866909	19.56224444	26.72281342	20.2521055	27.09585	21.40684088	19.42711815	21.40684088
ABCF3	21.11212657	25.10669113	29.44600482	25.63423608	20.53481436	20.96629446	21.25897303	22.627417	30.48441594	22.00866909	26.53822547	24.42014734	20.53481436	22.00866909	22.47111801	22.16175149	28.64080227	23.42537114	21.25897303	24.42014734
ABCG1	74.02804377	165.4211623	34.05984584	25.99207668	30.48441594	32.89964245	27.28431654	26.53822547	152.2185107	40.78594007	47.83517596	43.71328822	39.94657756	46.52712055	93.70148454	46.52712055	117.7840193	130.6895521	106.1529019	45.254834
ABCG2	20.67764529	19.02731384	19.29292524	20.82146969	19.8353232	19.97328878	19.69831061	19.02731384	19.56224444	20.11221399	21.25897303	19.56224444	20.11221399	19.97328878	19.56224444	19.42711815	19.69831061	19.15965927	20.2521055	19.02731384
ABCG4	23.42537114	24.7610399	32	26.72281342	25.63423608	42.22425314	25.63423608	23.75237713	33.35890435	29.24260641	28.64080227	23.26356028	22.16175149	33.12847756	26.17286587	26.35491255	31.12495832	26.17286587	27.47409397	26.17286587
ABCG5	22.627417	26.72281342	24.5900029	21.70566924	43.71328822	23.91758798	25.99207668	22.627417	22.78480313	24.5900029	19.97328878	26.53822547	26.17286587	27.47409397	33.8245773	26.72281342	28.4429658	44.01733818	24.25146506	22.78480313
ABCG8	23.58830748	26.53822547	22.78480313	25.63423608	22.47111801	20.67764529	22.47111801	25.10669113	19.8353232	20.2521055	22.627417	24.5900029	20.67764529	23.91758798	26.35491255	21.11212657	22.00866909	24.42014734	28.24649588	27.6651914
ABHD1	24.42014734	26.17286587	20.96629446	25.99207668	23.42537114	22.47111801	21.70566924	22.627417	21.11212657	21.11212657	22.16175149	26.35491255	20.39297004	21.70566924	21.85664411	22.78480313	23.10286713	21.55573723	21.25897303	20.82146969
ABHD10	20.39297004	24.42014734	41.64293937	21.11212657	20.67764529	20.2521055	23.26356028	22.00866909	24.08394796	29.65081798	21.40684088	23.91758798	22.47111801	31.12495832	21.55573723	21.40684088	23.91758798	23.58830748	21.70566924	28.24649588
ABHD11	26.53822547	27.28431654	26.72281342	43.41133848	33.35890435	24.7610399	30.90996253	22.31589866	22.47111801	31.34144952	21.11212657	22.16175149	20.96629446	21.85664411	22.47111801	26.17286587	24.93326655	24.5900029	20.82146969	25.10669113
ABHD12	42.81368175	33.59093388	30.06472797	69.5510312	32.44670335	38.8542363	49.8665331	45.56960626	41.93258892	34.2967508	41.93258892	42.81368175	34.2967508	40.78594007	28.05138308	39.6706464	34.2967508	27.6651914	38.58585049	38.58585049
ABHD12B	31.34144952	22.47111801	22.16175149	24.25146506	23.42537114	28.4429658	24.08394796	23.10286713	21.85664411	23.42537114	24.25146506	25.8125363	22.94328397	21.70566924	25.63423608	32.89964245	26.90868529	25.99207668	26.17286587	24.7610399
ABHD13	22.627417	23.10286713	20.53481436	22.78480313	25.99207668	22.47111801	22.16175149	24.5900029	22.47111801	26.72281342	22.00866909	27.28431654	22.47111801	22.31589866	22.94328397	24.42014734	24.25146506	24.42014734	24.42014734	28.64080227
ABHD14A	25.63423608	43.11147446	45.56960626	28.4429658	24.08394796	47.83517596	60.96883187	43.41133848	35.01739844	41.06962872	35.01739844	50.56264396	37.01402188	35.75318842	42.22425314	38.31931855	41.93258892	35.50622311	25.63423608	44.32350298
ABHD14B	31.77895985	24.5900029	29.44600482	20.39297004	19.97328878	28.24649588	26.90868529	46.20573426	45.56960626	45.254834	35.01739844	45.56960626	40.22442798	38.05462768	25.28132198	27.6651914	35.50622311	28.4429658	48.50293013	44.01733818
ABHD15	25.10669113	40.22442798	55.71523605	30.48441594	42.22425314	47.83517596	39.12448889	37.01402188	47.83517596	40.50421101	36.75834736	34.2967508	36.25228433	41.93258892	30.90996253	35.26096371	34.53530357	31.12495832	59.30163596	37.53071838
ABHD2	27.85761803	44.01733818	27.28431654	27.28431654	20.96629446	25.45716748	24.25146506	29.24260641	31.12495832	34.2967508	26.90868529	27.6651914	21.85664411	23.58830748	37.01402188	28.8400148	27.28431654	29.65081798	30.06472797	25.99207668
ABHD3	23.75237713	20.67764529	59.71411146	25.28132198	21.85664411	30.69645182	41.64293937	26.90868529	28.24649588	53.07645093	24.5900029	39.6706464	36.25228433	27.09585	38.8542363	28.4429658	25.99207668	21.55573723	31.55944654	44.01733818
ABHD4	19.56224444	21.55573723	27.09585	23.75237713	21.70566924	20.82146969	20.67764529	22.31589866	22.627417	21.85664411	24.25146506	21.55573723	20.2521055	20.67764529	19.69831061	20.39297004	20.82146969	20.11221399	25.99207668	25.28132198
ABHD5	28.05138308	24.7610399	29.04061297	25.8125363	21.55573723	34.05984584	28.4429658	32.89964245	35.26096371	30.90996253	36.75834736	31.12495832	30.48441594	23.58830748	41.64293937	48.50293013	33.59093388	30.69645182	29.24260641	25.45716748
ABHD6	29.85705573	28.8400148	42.22425314	41.35529058	26.90868529	24.93326655	35.01739844	26.17286587	28.4429658	26.35491255	28.4429658	30.69645182	32	31.34144952	24.25146506	35.75318842	25.99207668	22.16175149	28.05138308	27.09585
ABHD7	21.40684088	21.70566924	24.25146506	26.90868529	31.12495832	23.58830748	22.627417	20.96629446	22.31589866	28.8400148	31.55944654	24.08394796	20.53481436	26.17286587	22.00866909	23.58830748	22.627417	25.45716748	20.67764529	20.96629446
ABHD8	50.21338227	38.58585049	48.50293013	43.41133848	22.94328397	65.34477605	67.18186775	45.254834	39.6706464	36.00187151	70.52192742	38.31931855	38.58585049	40.50421101	31.77895985	53.44562684	47.50475426	47.83517596	40.50421101	41.64293937
ABHD9	19.8353232	19.15965927	19.8353232	20.53481436	20.82146969	22.16175149	19.56224444	19.42711815	23.26356028	21.40684088	20.39297004	20.96629446	21.70566924	20.82146969	20.82146969	21.11212657	22.627417	19.8353232	19.97328878	22.47111801
ABI1	83.28587875	80.44885597	135.2983092	98.3600116	60.96883187	89.26359465	99.04415959	72.00374302	101.8286699	152.2185107	109.1372661	150.1228735	166.5717575	176.0693527	126.2377862	100.4267645	113.7718632	158.6825856	174.8531529	138.1412143
ABI2	34.2967508	39.94657756	32.89964245	22.78480313	21.25897303	28.24649588	45.56960626	54.94818793	24.42014734	27.6651914	33.12847756	28.8400148	32	28.4429658	27.47409397	24.93326655	36.75834736	25.10669113	34.05984584	33.12847756
ABI3	48.50293013	27.85761803	94.35322991	26.17286587	25.28132198	27.6651914	53.44562684	60.96883187	28.8400148	37.79176517	31.55944654	41.93258892	40.22442798	38.8542363	32	42.22425314	39.6706464	20.2521055	23.75237713	27.09585
ABI3BP	19.42711815	20.2521055	20.11221399	21.25897303	19.69831061	20.96629446	20.11221399	19.42711815	19.97328878	19.42711815	22.47111801	19.8353232	18.89588258	19.56224444	19.97328878	19.42711815	19.97328878	19.02731384	19.97328878	20.39297004
ABL1	69.07060714	77.17170097	58.48521281	44.01733818	36.25228433	28.64080227	42.51794605	40.78594007	124.4998333	61.39290364	74.02804377	54.56863307	42.51794605	37.27147477	81.57188015	81.00842201	93.05424111	46.52712055	67.6491546	75.06143675
ABL2	20.67764529	32.67238802	23.75237713	21.40684088	21.85664411	23.75237713	24.42014734	20.82146969	23.10286713	28.24649588	24.5900029	24.5900029	30.48441594	20.11221399	25.45716748	29.04061297	24.25146506	21.55573723	20.39297004	20.67764529
ABLIM1	312.9959111	380.0380341	274.3740064	125.3657981	162.016844	235.5680386	174.8531529	199.4661324	242.1907576	344.8917957	121.9376637	263.1971396	347.2907078	333.143515	685.0189081	290.0182746	699.4126115	709.1760477	229.1264182	342.509454
ABLIM2	20.11221399	19.97328878	19.97328878	20.39297004	19.56224444	21.25897303	19.69831061	20.2521055	20.2521055	20.2521055	23.10286713	19.97328878	23.91758798	19.15965927	20.82146969	19.97328878	19.42711815	19.42711815	19.8353232	20.53481436
ABLIM3	21.40684088	19.8353232	21.40684088	20.96629446	18.89588258	22.94328397	19.97328878	27.28431654	21.85664411	19.8353232	20.11221399	22.47111801	22.31589866	23.42537114	20.11221399	22.627417	19.56224444	22.00866909	21.11212657	21.11212657
ABO	19.15965927	19.69831061	19.42711815	19.42711815	19.02731384	19.15965927	19.8353232	19.56224444	20.39297004	19.02731384	19.56224444	19.56224444	20.53481436	20.53481436	19.02731384	19.15965927	20.2521055	20.11221399	19.42711815	19.69831061
ABP1	20.39297004	20.96629446	19.42711815	19.8353232	18.89588258	19.69831061	20.2521055	22.78480313	20.2521055	19.02731384	20.11221399	20.11221399	19.42711815	19.97328878	19.29292524	19.97328878	19.15965927	21.25897303	20.96629446	19.97328878
ABR	233.9408513	162.016844	205.0738887	166.5717575	137.1870032	182.278425	199.4661324	206.5002904	212.3058037	166.5717575	240.5178238	183.5462717	154.3434019	135.2983092	176.0693527	221.3215312	202.2505758	115.3600592	155.4169452	222.8609442
ABRA	20.2521055	20.96629446	19.97328878	19.42711815	19.15965927	19.8353232	18.63573738	20.96629446	19.15965927	20.11221399	20.96629446	18.89588258	20.39297004	18.89588258	18.89588258	19.97328878	19.42711815	19.69831061	19.8353232	19.97328878
ABT1	30.06472797	29.24260641	32.67238802	57.68002961	21.85664411	25.8125363	22.16175149	29.04061297	24.42014734	36.25228433	25.10669113	37.53071838	31.34144952	34.05984584	31.55944654	35.75318842	42.51794605	37.79176517	42.22425314	35.50622311
ABTB1	98.3600116	96.33579183	167.7303557	141.0438548	68.11969168	121.9376637	121.9376637	158.6825856	128.8903104	149.0858991	142.0248924	134.3637355	125.3657981	139.1020624	97.00586026	199.4661324	141.0438548	128.8903104	111.4304721	125.3657981
ABTB2	28.64080227	22.47111801	21.25897303	26.90868529	25.45716748	24.25146506	22.16175149	27.47409397	29.65081798	22.00866909	22.00866909	23.26356028	23.10286713	20.53481436	21.55573723	21.11212657	22.94328397	19.69831061	26.72281342	28.64080227
ACAA1	101.8286699	70.03479688	112.2055323	121.9376637	131.5985698	128.8903104	164.2785149	138.1412143	101.1252879	99.04415959	117.7840193	94.35322991	90.50966799	66.71780869	101.1252879	112.2055323	81.57188015	65.79928491	100.4267645	89.26359465
